source,lang,edit_history_tweet_ids,created_at,text,id,author_id,public_metrics,cleaned_text,Tweet_tokenized
Twitter for Android,es,['1578843503844806656'],2022-10-08T20:23:19.000Z,RT @RafaEscobedoG: @alfagonzalezm ¿Cuánto te pagan para que los puestos en Acoxpa afuera de Walmart tengan una manta o un letrero que dice…,1578843503844806656,1478004915830239235,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RafaEscobedoG alfagonzalezm Cunto pagan para puestos Acoxpa afuera Walmart tengan manta letrero dice,"['rafaescobedog', 'alfagonzalezm', 'cunto', 'pagan', 'para', 'puestos', 'acoxpa', 'afuera', 'walmart', 'tengan', 'manta', 'letrero', 'dice']"
Twitter for Android,en,['1578843483158085632'],2022-10-08T20:23:14.000Z,"RT @AnimalJayson: You can be a little weird in that role. We’ll loosen it up a bit. You can be a lil feminine, so long as you’re still FUCK…",1578843483158085632,999913027121045506,"{'retweet_count': 29, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",AnimalJayson little weird that role Well loosen feminine long youre still FUCK,"['animaljayson', 'little', 'weird', 'that', 'role', 'well', 'loosen', 'feminine', 'long', 'youre', 'still', 'fuck']"
Twitter for iPhone,en,['1578843464363479040'],2022-10-08T20:23:10.000Z,"But he said yes - he tried to FRAME ME yeah, that’s why I don’t shake or fcks with Walmart. You shady. https://t.co/VXpeIGfVx0 https://t.co/Rr2Nd8t7ak",1578843464363479040,1572335551168270336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",said tried FRAME yeah thats dont shake fcks with Walmart shady httpstcoVXpeIGfVx0 httpstcoRr2Nd8t7ak,"['said', 'tried', 'frame', 'yeah', 'thats', 'dont', 'shake', 'fcks', 'with', 'walmart', 'shady', 'httpstcovxpeigfvx0', 'httpstcorr2nd8t7ak']"
Twitter for iPhone,en,['1578843420663382016'],2022-10-08T20:22:59.000Z,Why Walmart on warrensville so ghetto like that,1578843420663382016,2719434929,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Walmart warrensville ghetto like that,"['walmart', 'warrensville', 'ghetto', 'like', 'that']"
Twitter for Android,en,['1578843403285983232'],2022-10-08T20:22:55.000Z,"👉Get $1,000 in crypto for free! $SG #BTC

 1️⃣DL the SocialGood App (2M+ users)
 2️⃣Shop-to-Earn at 1,800+ sites (eBay, AliExpress, Walmart, Lazada, Shopee, Flipkart)

⏰Only now: Earn 100% Crypto Back rewards every time you shop!
📲Use invite code: S6Y4QC
https://t.co/r3HCXh7UT0",1578843403285983232,1421580381753597956,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1000 crypto free SocialGood users 2ShoptoEarn 1800 sites eBay AliExpress Walmart Lazada Shopee FlipkartOnly Earn Crypto Back rewards every time shopUse invite code S6Y4QChttpstcor3HCXh7UT0,"['1000', 'crypto', 'free', 'socialgood', 'users', '2shoptoearn', '1800', 'sites', 'ebay', 'aliexpress', 'walmart', 'lazada', 'shopee', 'flipkartonly', 'earn', 'crypto', 'back', 'rewards', 'every', 'time', 'shopuse', 'invite', 'code', 's6y4qchttpstcor3hcxh7ut0']"
Twitter for iPhone,en,['1578843390669561856'],2022-10-08T20:22:52.000Z,Anyone know what this refractor is called? I pulled it from a Walmart blaster. https://t.co/pCMzJr2xyb,1578843390669561856,2686114680,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Anyone know what this refractor called pulled from Walmart blaster httpstcopCMzJr2xyb,"['anyone', 'know', 'what', 'this', 'refractor', 'called', 'pulled', 'from', 'walmart', 'blaster', 'httpstcopcmzjr2xyb']"
Twitter for iPhone,en,['1578843338878619649'],2022-10-08T20:22:40.000Z,RT @TalbertSwan: The Black delegation will trade Kanye West and Herschel Walker for a Walmart gift card.,1578843338878619649,3981707476,"{'retweet_count': 3597, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TalbertSwan Black delegation will trade Kanye West Herschel Walker Walmart gift card,"['talbertswan', 'black', 'delegation', 'will', 'trade', 'kanye', 'west', 'herschel', 'walker', 'walmart', 'gift', 'card']"
Twitter for iPhone,es,['1578843335250563072'],2022-10-08T20:22:39.000Z,"resfriadísima y se me ocurre caminar a walmart como si fuera verano cuando hace un viento infernal, cojuda es mi tercer nombre",1578843335250563072,1103052130561216513,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",resfriadsima ocurre caminar walmart como fuera verano cuando hace viento infernal cojuda tercer nombre,"['resfriadsima', 'ocurre', 'caminar', 'walmart', 'como', 'fuera', 'verano', 'cuando', 'hace', 'viento', 'infernal', 'cojuda', 'tercer', 'nombre']"
Twitter for iPhone,en,['1578843323221307394'],2022-10-08T20:22:36.000Z,Their QB is named after a Walmart cologne Jack Palance used to sell at Walmart and he’s the fourth one. No matter what at least we aren’t that trash.,1578843323221307394,989490409,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Their named after Walmart cologne Jack Palance used sell Walmart fourth matter what least arent that trash,"['their', 'named', 'after', 'walmart', 'cologne', 'jack', 'palance', 'used', 'sell', 'walmart', 'fourth', 'matter', 'what', 'least', 'arent', 'that', 'trash']"
Twitter for iPhone,en,['1578843317219266560'],2022-10-08T20:22:34.000Z,I have the absolute worst luck with Walmart pick up 🤬,1578843317219266560,357267446,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",have absolute worst luck with Walmart pick,"['have', 'absolute', 'worst', 'luck', 'with', 'walmart', 'pick']"
Twitter for Android,en,['1578843280120614912'],2022-10-08T20:22:26.000Z,Walmart brand Marty McFly feat. A Deer (video unrelated) https://t.co/w1J4r2EUup https://t.co/5Pf6pIQvWo https://t.co/JFwRJvFAzR,1578843280120614912,1616592283,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Walmart brand Marty McFly feat Deer video unrelated httpstcow1J4r2EUup httpstco5Pf6pIQvWo httpstcoJFwRJvFAzR,"['walmart', 'brand', 'marty', 'mcfly', 'feat', 'deer', 'video', 'unrelated', 'httpstcow1j4r2euup', 'httpstco5pf6piqvwo', 'httpstcojfwrjvfazr']"
Twitter for iPhone,en,['1578843279059132416'],2022-10-08T20:22:25.000Z,@jhvenus__ just fell to my knees in the middle of walmart,1578843279059132416,1155010294311051269,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",jhvenus just fell knees middle walmart,"['jhvenus', 'just', 'fell', 'knees', 'middle', 'walmart']"
Twitter for Android,en,['1578843260864581632'],2022-10-08T20:22:21.000Z,RT @TalbertSwan: The Black delegation will trade Kanye West and Herschel Walker for a Walmart gift card.,1578843260864581632,16284638,"{'retweet_count': 3597, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TalbertSwan Black delegation will trade Kanye West Herschel Walker Walmart gift card,"['talbertswan', 'black', 'delegation', 'will', 'trade', 'kanye', 'west', 'herschel', 'walker', 'walmart', 'gift', 'card']"
Twitter for iPhone,en,['1578843250059722752'],2022-10-08T20:22:18.000Z,RT @Mikesgi62717027: @6imothy @TomPelissero They thought Wilson was gonna be big time ratings along with trying to impress Walmart owners s…,1578843250059722752,752896547227049984,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Mikesgi62717027 6imothy TomPelissero They thought Wilson gonna time ratings along with trying impress Walmart owners,"['mikesgi62717027', '6imothy', 'tompelissero', 'they', 'thought', 'wilson', 'gonna', 'time', 'ratings', 'along', 'with', 'trying', 'impress', 'walmart', 'owners']"
Twitter for Android,en,['1578843248134524929'],2022-10-08T20:22:18.000Z,@TacoExistential The sound I made in Walmart https://t.co/IYeCUbuUsY,1578843248134524929,1549851842267463685,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TacoExistential sound made Walmart httpstcoIYeCUbuUsY,"['tacoexistential', 'sound', 'made', 'walmart', 'httpstcoiyecubuusy']"
Twitter for iPhone,fr,['1578843242615148544'],2022-10-08T20:22:17.000Z,@Walmart @WalmartWorld  @WalmartInc  @Walmarttech @WalmartOrg @FamilyMobile  APPLE PAY APPLE PAY APPLE PAY APPLE PAY APPLE PAY,1578843242615148544,2469876378,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Walmart WalmartWorld WalmartInc Walmarttech WalmartOrg FamilyMobile APPLE APPLE APPLE APPLE APPLE,"['walmart', 'walmartworld', 'walmartinc', 'walmarttech', 'walmartorg', 'familymobile', 'apple', 'apple', 'apple', 'apple', 'apple']"
Twitter for iPhone,en,['1578843226840395776'],2022-10-08T20:22:13.000Z,@sour_cigarettez we don’t know each other but please know if u walked past me in a Walmart I would be SO jealous,1578843226840395776,1569512843971801089,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",sourcigarettez dont know each other please know walked past Walmart would jealous,"['sourcigarettez', 'dont', 'know', 'each', 'other', 'please', 'know', 'walked', 'past', 'walmart', 'would', 'jealous']"
Twitter for Android,en,['1578843215306031105'],2022-10-08T20:22:10.000Z,"RT @EarlLandix: Sista goes to Walmart @ 6am and notices she's being targeted to be kidnapped/sex trafficked. 

She pulls out her CCW and sa…",1578843215306031105,1393566796670701568,"{'retweet_count': 310, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",EarlLandix Sista goes Walmart notices shes being targeted kidnappedsex trafficked pulls,"['earllandix', 'sista', 'goes', 'walmart', 'notices', 'shes', 'being', 'targeted', 'kidnappedsex', 'trafficked', 'pulls']"
